Consommation (MW),Average
2983.750056003584,5.865806451612904
3058.3782242063494,4.935
2757.7145497311826,7.534193548387098
2322.348726851852,10.856666666666667
2052.945732526882,12.689677419354839
1899.4989583333333,17.05
1934.4492607526881,22.31032258064516
1757.291778673835,20.35290322580645
1910.937789351852,17.819333333333333
2061.5677083333335,15.476129032258065
2606.621585648148,9.037333333333333
2788.3431339605736,7.219354838709679
2746.5554995519715,8.394193548387095
2745.1673487103176,8.37
2403.6027105734765,9.912258064516129
2088.7475694444443,12.908666666666667
1931.0090725806451,14.386451612903224
1873.9916087962963,19.110666666666667
1886.5797491039427,20.453548387096774
1721.8274529569892,18.580000000000002
1911.7331018518519,19.104666666666667
2021.4835909498208,15.636774193548385
2337.763310185185,11.491333333333333
2752.344198028674,7.239999999999999
2925.234823028674,6.514193548387097
3000.399429563492,5.564285714285714
2549.141633064516,9.238709677419354
2122.5028935185187,12.994
1888.88771281362,15.101290322580645
1912.4351273148147,19.274666666666665
1940.936491935484,21.329677419354837
1755.2216061827958,20.361290322580643
1927.797164351852,16.10333333333333
2179.377464157706,12.88516129032258
2363.519212962963,12.038
2488.8121639784945,10.524516129032257
2792.734431003584,7.840645161290322
2764.160440613027,7.788275862068965
2634.9786626344085,8.416774193548386
2250.1091435185185,10.97
1934.0387544802868,15.044516129032258
1889.2176504629629,18.13133333333333
1874.7023409498208,20.717419354838707
1785.5575156810037,21.190967741935484
1911.5072337962963,19.231333333333332
2145.2525201612902,12.718709677419355
2548.4543402777776,9.527333333333333
2821.4435483870966,7.038064516129033
3196.517137096774,4.333548387096775
2703.7047371031745,8.694285714285714
2381.539090501792,11.132903225806452
2107.890451388889,11.844
1950.224854390681,16.491612903225807
1918.5158564814815,20.429333333333332
1883.0994623655913,20.87741935483871
1783.517809139785,20.3458064516129
1934.1561921296295,15.926666666666668
2036.2200380824372,14.959354838709677
2586.618229166667,8.968
2880.648465501792,6.748387096774193
2712.3580309139784,9.023225806451613
3094.2424975198414,4.225
2703.0154009856633,8.444516129032259
2086.3799189814813,13.550666666666666
1891.6996527777778,15.950967741935484
1875.4351851851852,19.870666666666665
1923.8230846774193,22.73032258064516
1802.8463261648747,21.416129032258066
1879.2432870370371,18.503333333333334
2063.6525537634407,14.154838709677419
2517.250636574074,9.904
2647.048779121864,8.621290322580645
3012.597670250896,5.7709677419354835
2730.5285218253966,8.583571428571428
2404.6641465053763,10.477419354838709
2180.8235532407407,12.022666666666668
1981.4131944444443,14.228387096774194
1873.9416087962964,19.212
1925.0715725806451,22.44451612903226
1753.6292562724013,21.03290322580645
1852.082349537037,18.247999999999998
2023.088373655914,14.869032258064514
2528.6303819444443,9.333333333333334
2615.335965501792,8.75741935483871
2768.5755488351256,8.115483870967742
2580.9209171455936,9.714482758620688
2311.7491039426523,9.681935483870967
1763.1619212962962,14.007333333333333
1706.415770609319,16.886451612903226
1770.9601273148148,17.990666666666666
1834.351590501792,20.89032258064516
1746.4501568100359,21.494838709677417
1858.0527199074074,18.441333333333333
2133.647401433692,13.047096774193548
2293.4876157407407,11.083333333333334
2653.9376120071684,7.834193548387096
